dataset,seed,forget_ratio,method,clients,affected_clients,forget_train,forget_test,retained_acc,retained_bacc,retained_auc,forget_scope_bacc,forget_scope_auc,mia_auc,mia_gap,l2_to_oracle,runtime,runtime_to_oracle,type_leak_auc,attribute_leak_auc,full_retained_bacc
Bank Marketing,5,0.25,FedRecovery-proxy,24,20,547,938,0.879930302550293,0.50028481080298,0.812535118947251,0.4994232987312572,0.8568318793963319,0.4701628966683948,0.0298371033316052,0.090712206714427,0.0207669580122455,0.5285530180172786,1.0,0.8862,0.4999549954995499
Bank Marketing,5,0.25,Starfish-proxy,24,20,547,938,0.8798511009028988,0.4999549954995499,0.8116514158012107,0.4994232987312572,0.8559871338759198,0.4702506012637257,0.0297493987362742,0.0803442041700812,0.0196021249867044,0.4989061139895952,0.9772,0.6914222222222223,0.4999549954995499
Bank Marketing,5,0.25,MA-ABE-FU,24,20,547,938,0.879930302550293,0.50028481080298,0.812967055280726,0.4994232987312572,0.8572542521565378,0.4701434067583212,0.0298565932416787,0.0945482943683867,0.0235871660115662,0.6003319202810793,0.6350777777777777,0.5069444444444444,0.4999549954995499
Bank Marketing,5,0.25,Oracle-Retrain,24,20,547,938,0.8798511009028988,0.4999549954995499,0.8042189047400782,0.4994232987312572,0.8501226505515214,0.4706559913932557,0.0293440086067443,0.0,0.0392902079911436,1.0,1.0,0.8820444444444444,0.4999549954995499
Bank Marketing,5,0.5,FedAvg-Full,24,21,1093,938,0.8798511009028988,0.4999549954995499,0.804390254328863,0.4994232987312572,0.8506100037363744,0.4710085697509056,0.0289914302490943,0.0088900119754687,0.0419858329987619,0.955186804720792,1.0,0.8967888888888889,0.4999549954995499
Bank Marketing,5,0.5,SISA-Retrain,24,21,1093,938,0.8798511009028988,0.4999549954995499,0.7903013520349397,0.5,0.8378088600809006,0.4708183692698447,0.0291816307301552,0.1515189602830489,0.0208272500021848,0.4738244536268871,1.0,0.9089777777777778,0.4999549954995499
Bank Marketing,5,0.5,FedEraser-proxy,24,21,1093,938,0.8798511009028988,0.4999549954995499,0.8039701331610734,0.4994232987312572,0.8496677875789919,0.4709510219130462,0.0290489780869537,1.1629476669075054e-06,0.0417573750019073,0.9499893357546564,1.0,0.9183111111111111,0.4999549954995499
Bank Marketing,5,0.5,FedRecovery-proxy,24,21,1093,938,0.879930302550293,0.50028481080298,0.8125430748879637,0.4994232987312572,0.8565882028039054,0.4709832096867642,0.0290167903132357,0.0909177274974043,0.020537709002383,0.4672373330987668,1.0,0.9047888888888889,0.4999549954995499
Bank Marketing,5,0.5,Starfish-proxy,24,21,1093,938,0.8798511009028988,0.4999549954995499,0.8116495158750704,0.4994232987312572,0.8558896632389492,0.4709256618489047,0.0290743381510952,0.0806155956971024,0.0205877920088823,0.4683767323563764,0.9870111111111111,0.6678555555555555,0.4999549954995499
Bank Marketing,5,0.5,MA-ABE-FU,24,21,1093,938,0.8800095041976873,0.5006146261064102,0.8129766736568116,0.4994232987312572,0.8572055168380526,0.4709519973001285,0.0290480026998714,0.0947298904267018,0.0256035419879481,0.5824861319703714,0.6526222222222222,0.5241666666666667,0.4999549954995499
